6. Sophia Green,,,,,,,,,,,
screen_name,SUM of gross,SUM of absolute_net,SUM of Comp_score,SUM of SUM of handi_bonus6,SUM of SUM of order,,Initial_Score,Tied,Ranking Points,Handi bonus,Final Points
timmo86 (Neil),67,63.0,64,1,64,,36,N,36,1,37
kylo (Kyle),66,65.3,66,1,66,,35,N,35,1,36
kangsterP (Pil),72,66.4,67,1,67,,34,N,34,1,35
richard85 (Rich),72,68.8,69,1,69,,33,N,33,1,34
batermankr (Jason),87,69.0,70,1,70,,32,N,32,1,33
bumbinger (Jack),95,68.2,70,1,70,,31,Y,32,1,33
longshanks (Lewis) (R),83,69.3,70,1,70,,30,Y,32,1,33
JockyWilson (Jamie),86,69.5,71,1,71,,29,N,29,1,30
dannie.drew (Danny),78,70.9,72,1,72,,28,N,28,1,29
robertevans (Robert),71,72.5,72,0,72,,27,Y,28,0,28
BigRiver (Brett) (R),93,73.0,74,0,74,,26,N,26,0,26
drewd (Drew),75,73.8,74,0,74,,25,Y,26,0,26
thechump (Alan),81,73.4,74,0,74,,24,Y,26,0,26
타드 (Todd),72,75.1,74,0,74,,23,Y,26,0,26
Commishhhh (Neil),84,74.2,75,0,75,,22,N,22,0,22
flemster (Sean),78,74.1,75,0,75,,21,Y,22,0,22
goody (Nick),90,73.9,75,0,75,,20,Y,22,0,22
golfgod69 (Josh),95,74.2,76,0,76,,19,N,19,0,19
hardytom89 (David),96,74.2,76,0,76,,18,Y,19,0,19
Mal (Mal),84,75.4,76,0,76,,17,Y,19,0,19
shaunybaby (Shaun),83,74.9,76,0,76,,16,Y,19,0,19
Ju섐보 (Juyong) (R),91,76.1,77,0,77,,15,N,15,0,15
rickiej (Rickie),97,76.2,78,0,78,,14,N,14,0,14
tarmin (Martin),90,78.0,79,0,79,,13,N,13,0,13
unclejoejoe (Joe),82,77.8,79,0,79,,12,Y,13,0,13
보기카스 (Kyle),102,77.6,79,0,79,,11,Y,13,0,13
danmor (Dan),86,80.7,81,0,81,,10,N,10,0,10
Pilster (Phil),97,80.9,82,0,82,,9,N,9,0,9
schwinger (David),86,82.3,83,0,83,,8,N,8,0,8
EnricoPalazzo (Blake),87,85.2,86,0,86,,7,N,7,0,7
double_putt (Alan),97,85.6,87,0,87,,6,N,6,0,6
rezasnap (Reza),113,84.6,88,0,88,,5,N,5,0,5
jackharrison (Jack),115,69.3,90,1,90,,4,N,4,1,5
trimbo (Tim),95,89.4,90,0,90,,3,Y,4,0,4
roddybanc (Roddy),107,95.0,96,0,96,,2,N,2,0,2
핀탄 (Finton),144,144.0,144,0,144,,0,N,0,0,0
,,,,,,,-1,N,0,0,0
,,,,,,,-2,Y,0,0,0
,,,,,,,-3,Y,0,0,0
,,,,,,,-4,Y,0,0,0
,,,,,,,-5,Y,0,0,0
,,,,,,,-6,Y,0,0,0
,,,,,,,-7,Y,0,0,0
,,,,,,,-8,Y,0,0,0
,,,,,,,-9,Y,0,0,0
